filename,combined_score,text_similarity,skill_score,experience_score,education_score,experience_years,skills_found
24416961.pdf,0.6704215321807245,0.23855383045181136,1.0,1.0,0.75,18,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'communication', 'analytical']}"
23398843.pdf,0.6269227227118122,0.1298068067795303,1.0,1.0,0.75,10,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['communication', 'problem-solving', 'analytical']}"
10149490.pdf,0.6251003852198627,0.12525096304965666,1.0,1.0,0.75,23,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'communication', 'analytical']}"
26932091.pdf,0.6246964013061678,0.12424100326541962,1.0,1.0,0.75,10,"{'programming': ['go', 'scala'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'communication', 'problem-solving', 'analytical']}"
47276718.pdf,0.6240973173314524,0.12274329332863067,1.0,1.0,0.75,10,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['communication', 'analytical']}"
18937778.pdf,0.6227138283867697,0.11928457096692409,1.0,1.0,0.75,15,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['communication', 'analytical', 'creative']}"
21866029.pdf,0.6226677048896008,0.1191692622240021,1.0,1.0,0.75,9,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': ['sql'], 'cloud': [], 'soft_skills': ['communication', 'analytical', 'creative']}"
25676643.pdf,0.6223444724443805,0.11836118111095127,1.0,1.0,0.75,9,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'communication', 'teamwork', 'analytical']}"
16244633.pdf,0.6216289802840957,0.1165724507102392,1.0,1.0,0.75,10,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': ['aws'], 'soft_skills': ['communication', 'teamwork', 'analytical']}"
39027764.pdf,0.6196211150184605,0.1115527875461516,1.0,1.0,0.75,38,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'communication', 'analytical']}"
38946032.pdf,0.6187982478572822,0.10949561964320577,1.0,1.0,0.75,15,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': ['sql'], 'cloud': [], 'soft_skills': ['leadership', 'communication', 'analytical', 'creative']}"
26341987.pdf,0.616367122242393,0.10341780560598249,1.0,1.0,0.75,20,"{'programming': ['go', 'scala'], 'web_development': [], 'data_science': ['r'], 'databases': ['sql'], 'cloud': [], 'soft_skills': ['leadership', 'communication', 'analytical', 'creative']}"
13575312.pdf,0.6151599886828094,0.22539997170702375,0.8333333333333334,1.0,0.75,20,"{'programming': ['java', 'javascript', 'c++', 'go', 'rust', 'scala'], 'web_development': ['html'], 'data_science': ['r'], 'databases': ['sql', 'postgresql', 'oracle'], 'cloud': [], 'soft_skills': ['communication']}"
36434348.pdf,0.6147348630624478,0.0993371576561195,1.0,1.0,0.75,10,"{'programming': ['c++', 'go'], 'web_development': ['html'], 'data_science': ['r'], 'databases': ['sql', 'oracle'], 'cloud': [], 'soft_skills': ['leadership', 'communication', 'problem-solving', 'analytical']}"
26167298.pdf,0.6144344322664648,0.0985860806661622,1.0,1.0,0.75,15,"{'programming': ['go'], 'web_development': ['html'], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'communication', 'analytical', 'creative']}"
20324037.pdf,0.6140263192719031,0.097565798179758,1.0,1.0,0.75,8,"{'programming': ['go'], 'web_development': ['css'], 'data_science': ['r'], 'databases': ['oracle'], 'cloud': [], 'soft_skills': ['communication', 'analytical']}"
30311725.pdf,0.6092767585635819,0.21069189640895447,0.8333333333333334,1.0,0.75,30,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'communication', 'problem-solving']}"
51769822.pdf,0.6080050664616243,0.08251266615406062,1.0,1.0,0.75,30,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['communication', 'analytical', 'creative']}"
44624796.pdf,0.6064751455467792,0.07868786386694818,1.0,1.0,0.75,25,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['communication', 'analytical']}"
10704573.pdf,0.6047039984308751,0.0742599960771875,1.0,1.0,0.75,10,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'communication', 'analytical']}"
27243670.pdf,0.6037777795839181,0.19694444895979552,0.8333333333333334,1.0,0.75,30,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': ['aws'], 'soft_skills': ['leadership', 'communication']}"
25718772.pdf,0.5994006470673594,0.06100161766839837,1.0,1.0,0.75,10,"{'programming': ['java', 'go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['communication', 'analytical']}"
28867567.pdf,0.5991063413525923,0.06026585338148082,1.0,1.0,0.75,10,"{'programming': ['go', 'rust'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'communication', 'analytical', 'creative']}"
26801767.pdf,0.5988861303967724,0.12221532599193086,0.8333333333333334,1.0,1.0,30,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'communication']}"
11614114.pdf,0.5988055001525636,0.05951375038140933,1.0,1.0,0.75,12,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'communication', 'analytical']}"
51508889.pdf,0.59878223227835,0.05945558069587501,1.0,1.0,0.75,11,"{'programming': ['java', 'javascript', 'go'], 'web_development': ['html', 'css'], 'data_science': ['r'], 'databases': ['sql', 'oracle'], 'cloud': [], 'soft_skills': ['communication', 'analytical', 'creative']}"
29574501.pdf,0.5986772881464644,0.059193220366161245,1.0,1.0,0.75,13,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['communication', 'analytical']}"
27536013.pdf,0.598580672968843,0.1839516824221077,0.8333333333333334,1.0,0.75,10,"{'programming': ['go', 'rust'], 'web_development': [], 'data_science': ['r'], 'databases': ['sql', 'oracle'], 'cloud': [], 'soft_skills': ['leadership', 'communication']}"
47487091.pdf,0.5981554378682337,0.05788859467058421,1.0,1.0,0.75,10,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': ['aws'], 'soft_skills': ['communication', 'analytical']}"
32773331.pdf,0.5891441466286966,0.1603603665717418,0.8333333333333334,1.0,0.75,20,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'communication']}"
28628090.pdf,0.5879062677473945,0.15726566936848624,0.8333333333333334,1.0,0.75,20,"{'programming': ['c++', 'go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'communication']}"
28471099.pdf,0.5870159365960715,0.0925398414901788,0.8333333333333334,1.0,1.0,25,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'analytical', 'creative']}"
36074301.pdf,0.5868740344753411,0.02968508618835268,1.0,1.0,0.75,15,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'communication', 'analytical']}"
19497420.pdf,0.5862659347322781,0.1531648368306949,0.8333333333333334,1.0,0.75,10,"{'programming': ['go'], 'web_development': ['express'], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'communication', 'creative']}"
39908485.pdf,0.5849315789741514,0.14982894743537853,0.8333333333333334,1.0,0.75,21,"{'programming': ['go', 'rust'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'communication']}"
70541112.pdf,0.584916158170004,0.14979039542500974,0.8333333333333334,1.0,0.75,12,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': ['sql', 'oracle'], 'cloud': [], 'soft_skills': ['analytical']}"
12212468.pdf,0.5827260724312138,0.14431518107803457,0.8333333333333334,1.0,0.75,16,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['communication']}"
28679359.pdf,0.581292327838066,0.14073081959516462,0.8333333333333334,1.0,0.75,10,"{'programming': ['go', 'scala'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'analytical', 'creative']}"
28396458.pdf,0.5807488168183752,0.13937204204593803,0.8333333333333334,1.0,0.75,15,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': ['aws'], 'soft_skills': ['communication']}"
29821051.pdf,0.5782394616671493,0.13309865416787361,0.8333333333333334,1.0,0.75,8,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': ['oracle'], 'cloud': [], 'soft_skills': ['leadership', 'communication']}"
24740005.pdf,0.5772942014083222,0.13073550352080582,0.8333333333333334,1.0,0.75,10,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'communication']}"
22019500.pdf,0.5770245794435942,0.13006144860898575,0.8333333333333334,1.0,0.75,33,"{'programming': ['go'], 'web_development': ['node'], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'communication']}"
78114950.pdf,0.5769876743991449,0.12996918599786214,0.8333333333333334,1.0,0.75,26,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': ['aws'], 'soft_skills': ['communication']}"
37242217.pdf,0.5769409542458659,0.12985238561466494,0.8333333333333334,1.0,0.75,10,"{'programming': ['java', 'javascript', 'c++', 'php', 'go'], 'web_development': ['html', 'css', 'express'], 'data_science': ['r'], 'databases': ['sql', 'mysql', 'oracle'], 'cloud': [], 'soft_skills': ['communication']}"
39237915.pdf,0.5737903137992156,0.12197578449803903,0.8333333333333334,1.0,0.75,15,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'communication']}"
97449528.pdf,0.5717364989597238,0.11684124739930934,0.8333333333333334,1.0,0.75,12,"{'programming': ['go', 'rust'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'communication']}"
28126340.pdf,0.5713358334181453,0.11583958354536339,0.8333333333333334,1.0,0.75,9,"{'programming': ['java', 'javascript', 'php', 'go'], 'web_development': ['html', 'css'], 'data_science': ['r'], 'databases': ['sql', 'mysql', 'oracle'], 'cloud': [], 'soft_skills': ['leadership', 'analytical']}"
24559558.pdf,0.5712789431322399,0.053197357830599874,0.8333333333333334,1.0,1.0,20,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['communication']}"
11847784.pdf,0.5712270740851597,0.11556768521289905,0.8333333333333334,1.0,0.75,15,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': ['aws'], 'soft_skills': ['leadership', 'communication', 'creative']}"
37374340.pdf,0.5706651860875469,0.11416296521886726,0.8333333333333334,1.0,0.75,20,"{'programming': ['go', 'rust'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'communication', 'creative']}"
17818707.pdf,0.5697112205885395,0.11177805147134869,0.8333333333333334,1.0,0.75,18,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['communication']}"
80503242.pdf,0.5682441667284369,0.10811041682109215,0.8333333333333334,1.0,0.75,19,"{'programming': ['go'], 'web_development': ['html'], 'data_science': ['r'], 'databases': ['sql'], 'cloud': [], 'soft_skills': ['communication']}"
57575888.pdf,0.5682289006529945,0.10807225163248607,0.8333333333333334,1.0,0.75,8,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'communication']}"
55712978.pdf,0.5674395951877393,0.04359898796934818,0.8333333333333334,1.0,1.0,16,"{'programming': ['go'], 'web_development': ['express'], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'analytical']}"
11813872.pdf,0.5670404339994108,0.10510108499852701,0.8333333333333334,1.0,0.75,20,"{'programming': ['python', 'java', 'go', 'rust'], 'web_development': [], 'data_science': ['pandas', 'matplotlib', 'r'], 'databases': ['sql', 'oracle'], 'cloud': ['aws'], 'soft_skills': ['leadership', 'analytical', 'creative']}"
13964744.pdf,0.5670034449715307,0.16750861242882642,0.8333333333333334,0.875,0.75,7,"{'programming': ['java', 'go', 'scala'], 'web_development': [], 'data_science': ['r'], 'databases': ['sql'], 'cloud': [], 'soft_skills': ['leadership', 'communication']}"
30813919.pdf,0.5662407185083218,0.10310179627080446,0.8333333333333334,1.0,0.75,10,"{'programming': ['go'], 'web_development': [], 'data_science': ['r'], 'databases': [], 'cloud': [], 'soft_skills': ['leadership', 'communication']}"
