Rank,Filename,Sector,Overall_Score,Match_Percentage,Text_Similarity,Skill_Score,Experience_Score,Education_Score,Experience_Years,Education_Level,Skills_Count,All_Skills,Recommendations,File_Path
1,28679359.pdf,DIGITAL-MEDIA,0.7729,77.29,0.4065,0.875,0.85,1.0,10,3,14,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:sem | DIGITAL-MEDIA:analytics | MARKETING:digital marketing | MARKETING:seo | MARKETING:sem | MARKETING:ppc | MARKETING:google analytics | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media,"Consider developing skills in: adobe creative suite, communication",..\data\data\data\DIGITAL-MEDIA\28679359.pdf
2,29770086.pdf,CONSULTANT,0.7249,72.49,0.2147,0.875,0.85,1.0,10,4,14,BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:sem | DIGITAL-MEDIA:analytics | MARKETING:digital marketing | MARKETING:seo | MARKETING:sem | MARKETING:ppc | MARKETING:google analytics | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: excel, adobe creative suite",..\data\data\data\CONSULTANT\29770086.pdf
3,15423153.pdf,BUSINESS-DEVELOPMENT,0.7228,72.28,0.3188,0.8125,0.85,1.0,10,4,13,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:analytics | MARKETING:digital marketing | MARKETING:seo | MARKETING:ppc | MARKETING:google analytics | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, sem, sem",..\data\data\data\BUSINESS-DEVELOPMENT\15423153.pdf
4,80503242.pdf,ADVOCATE,0.6628,66.28,0.2812,0.75,0.7,1.0,19,4,12,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:analytics | MARKETING:digital marketing | MARKETING:seo | MARKETING:google analytics | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, sem, sem, ppc",..\data\data\data\ADVOCATE\80503242.pdf
5,23810469.pdf,DIGITAL-MEDIA,0.6512,65.12,0.3022,0.6875,0.775,1.0,13,4,11,BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:sem | MARKETING:digital marketing | MARKETING:seo | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: excel, adobe creative suite, analytics, google analytics, ppc",..\data\data\data\DIGITAL-MEDIA\23810469.pdf
6,26167298.pdf,CONSULTANT,0.6501,65.01,0.2154,0.75,0.725,1.0,15,4,12,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:sem | MARKETING:seo | MARKETING:sem | MARKETING:ppc | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, analytics, google analytics, digital marketing",..\data\data\data\CONSULTANT\26167298.pdf
7,40883703.pdf,DIGITAL-MEDIA,0.6497,64.97,0.2813,0.6875,0.8,1.0,12,4,11,BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:sem | DIGITAL-MEDIA:analytics | MARKETING:digital marketing | MARKETING:seo | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | SOFT-SKILLS:communication,"Consider developing skills in: excel, adobe creative suite, google analytics, ppc, social media",..\data\data\data\DIGITAL-MEDIA\40883703.pdf
8,16893572.pdf,DIGITAL-MEDIA,0.6446,64.46,0.4033,0.875,0.0,1.0,0,3,14,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DESIGNER:adobe creative suite | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:sem | DIGITAL-MEDIA:analytics | MARKETING:digital marketing | MARKETING:seo | MARKETING:sem | MARKETING:google analytics | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media,"Consider developing skills in: ppc, communication | Gain 4 more years of relevant experience",..\data\data\data\DIGITAL-MEDIA\16893572.pdf
9,80679862.pdf,DIGITAL-MEDIA,0.628,62.8,0.4493,0.8125,0.0,1.0,0,3,13,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:analytics | MARKETING:digital marketing | MARKETING:seo | MARKETING:ppc | MARKETING:google analytics | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, sem, sem | Gain 4 more years of relevant experience",..\data\data\data\DIGITAL-MEDIA\80679862.pdf
10,11432686.pdf,CHEF,0.6267,62.67,0.1368,0.75,0.7,1.0,20,4,12,ACCOUNTANT:excel | BUSINESS-DEVELOPMENT:sales | DIGITAL-MEDIA:seo | DIGITAL-MEDIA:sem | DIGITAL-MEDIA:analytics | MARKETING:seo | MARKETING:sem | PHARMACEUTICAL:sales | PHARMACEUTICAL:marketing | RETAIL:sales | PUBLIC-RELATIONS:social media | SOFT-SKILLS:communication,"Consider developing skills in: adobe creative suite, google analytics, digital marketing, ppc",..\data\data\data\CHEF\11432686.pdf
